,title,brand,weight,price,product_rating,bought_last_month,num_reviews,description,product_upc,honey_seller_rank,food_rank
10,"        Local Hive Wildflower & Clover Raw Unfiltered Honey – 12oz (Pack of 2), 100% Pure US Honey, Sourced from American Bees and Beekeepers, Natural Sweetener, Ideal for Tea, Baking, and Cooking       ",Local Hive Honey,12.0 Ounce,19.99,4.7 out of 5 stars,,"2,230 ratings",,075002120179,  #51 in Honey ,"  Best Sellers Rank:  #7,792 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #51 in Honey  "
11,"        Louisa's Bosco Honey | Award-Winning Italian Raw & Pure Honey | TA 20+ (MGO 829+) | 100% Traceable | Sustainably Sourced | GMO, Gluten & Allergen Free | 350g       ",Louisa's Honey The real nectar of Italy,12.3459 Ounce,39.99,4.4 out of 5 stars,,2 ratings," 
 Louisa's Bosco Honey, Pure, Natural, Raw & Not infused Premium Italian Honey  ",,"  #1,774 in Honey ","  Best Sellers Rank:  #259,921 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #1,774 in Honey  "
12,"        Kirkland Signature Kirkland Signature Raw Unfiltered USA Honey (48 OZ/ 3 LBS), 48 oz(Pack of 1)       ",KIRKLAND,48.0 Ounce,22.99,4.4 out of 5 stars, 50+ bought in past month ,324 ratings," 
 Kirkland Signature Raw USA honey (48 oz/ 3 lbs)  ",096619222698,  #408 in Honey ,"  Best Sellers Rank:  #63,135 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #408 in Honey  "
13,"        Stroope Farms Wildflower Honey, 8 FZ       ",Stroope Farms,8 Ounce,5.79,4.6 out of 5 stars, 50+ bought in past month ,121 ratings," 
 Baking  ",892664001031,,
14,"        GUENTHER APIARY Local Arkansas Honey, 22 OZ       ",Guenther Apiary,22.0 Ounce,17.99,4.9 out of 5 stars,,29 ratings," 
 Baking  ",860002337012,  #965 in Honey ,"  Best Sellers Rank:  #142,479 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #965 in Honey  "
15,"        P.R.I Manuka Honey, Certified MGO 200+, Raw New Zealand Manuka Honey, 250g Jar       ",P.R.I,8.8 Ounce,22.49,4.6 out of 5 stars,,682 ratings,,733726805016,  #201 in Honey ,"  Best Sellers Rank:  #29,361 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #201 in Honey  "
16,"        Local Hive Florida Raw Unfiltered Honey – 32 oz, 100% Pure US Honey, Sourced from American Bees and Beekeepers - Natural Sweetener, Ideal for Tea, Baking, and Cooking       ",Local Hive Honey,32.0 Ounce,12.50,4.6 out of 5 stars,,27 ratings,,075002200321,"  #1,137 in Honey ","  Best Sellers Rank:  #165,454 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #1,137 in Honey  "
17,"        Honey Acres' Raw Unfiltered Honey Straws - USA Honey Sticks (Clover, 50 Count)       ",Honey Acres,50.0 Count,10.99,4.6 out of 5 stars, 2K+ bought in past month ,"4,684 ratings",,041652100502,  #35 in Honey ,"  Best Sellers Rank:  #5,573 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #35 in Honey  "
18,"        Dutch Gold Honey Orange Blossom, 16 oz       ",Dutch Gold,16.0 Ounce,11.98,4.5 out of 5 stars, 100+ bought in past month ,682 ratings," 
 Its quest for the most advanced cultural, aesthetic, design and functional quality into mass production. Our raw materials are from the earth itself. We seek to use ingredients that are plant derived, GMO-free, organically certified when possible, and sourced from domestic suppliers to keep jobs in our local communities.  ",073138206101,  #221 in Honey ,"  Best Sellers Rank:  #31,935 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #221 in Honey  "
19,"        HUMMER & SON Pure Louisiana Raw & Unfiltered Honey, 16 OZ       ",Hummer & Son,16.0 Ounce,20.99,4.9 out of 5 stars,,15 ratings," 
 Honey Lousiana Raw Unfiltered  ",604530080527,"  #2,918 in Honey ","  Best Sellers Rank:  #433,007 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,918 in Honey  "
20,"        BERNARDS APIARIES Acadiana Honey, 8 FZ       ",Bernards Apiaries,8.00 Fluid Ounces,14.38,4.4 out of 5 stars,,65 ratings," 
 Bernard's Acadiana Honey is all natural and Kosher approved.  ",768172615087,"  #2,503 in Honey ","  Best Sellers Rank:  #368,669 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,503 in Honey  "
21,"        GloryBee 100 Piece Honey Stix Bag, Clover Blossom, 1.20 Pound       ",GloryBee,20.0 Ounce,17.99,4.6 out of 5 stars, 1K+ bought in past month ,"1,008 ratings"," 
 The sweet, delicate flavor of classic clover blossom honey packaged in a convenient, easy-to-use, BPA-free plastic straw. Containing approximately one teaspoon of pure honey, GloryBee Clover Blossom HoneyStix are the perfect on-the-go treat. Enjoy them as a quick pick-me-up snack, take along to sweeten your coffee and tea, or give to kids as a natural alternative to candy. 1% of sales from these HoneyStix goes towards SAVE the BEE which supports honey bee health research.  ",030042920004,  #39 in Honey ,"  Best Sellers Rank:  #6,706 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #39 in Honey  "
22,"        GUENTHER APIARY Arkansas Honey, 12 OZ       ",Guenther Apiary,12.0 Ounce,13.99,4.6 out of 5 stars,,28 ratings," 
 Baking  ",860002337005,"  #2,146 in Honey ","  Best Sellers Rank:  #317,879 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,146 in Honey  "
23,"        Honey Feast Tupelo Honey - Authentic Florida Honey from Black Gum Tupelo & Holly Blend, Pure Raw Honey, 12oz - American Honey from Central Florida Apiary       ",Honey Feast,12.00 Fluid Ounces,9.99,4.3 out of 5 stars, 100+ bought in past month ,"1,238 ratings"," 
 Introducing Honey Feast's Tupelo Honey, a pure and authentic Florida honey made from the Black Gum Tupelo tree and Holly blend. Our bees produce this delicious honey during the nectar flow, capturing the essence of these unique trees for a distinct flavor you won't find anywhere else.As a small family apiary in Central Florida, we pride ourselves on creating American honey that is raw, unfiltered, and unheated. This natural honey is perfect for adding a touch of sweetness to your tea, toast, or favorite recipes.Our Tupelo Honey comes in a 12oz glass honey jar, making it a beautiful and thoughtful gift for friends, family, and foodies alike. Whether you're looking for a company gift, cooking gift set, or unique gift for him, our Honey Feast Tupelo Honey is sure to impress with its exceptional quality and taste.Choose Honey Feast for a true taste of Florida, and experience the delightful flavor of our Tupelo Honey today. 🍯  ",857598008358,  #47 in Honey ,"  Best Sellers Rank:  #7,623 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #47 in Honey  "
24,"        Heavenly Organics 100% Organic Raw Honey 1Pack - Size 16Oz Squeeze Strained to Preserve Pollen , Vitamins, Minerals and Enzymes; Made from Wild Beehives & Free Range Bees form foothill of Himalyas , Fair traded , Kosher, Chemical , Antibiotic and Glyphosate free       ",Heavenly Organics,16.0 Ounce,8.95,4.7 out of 5 stars, 100+ bought in past month ,5 ratings,,897988116744,  #309 in Honey ,"  Best Sellers Rank:  #47,615 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #309 in Honey  "
25,        Savannah Bee Company Whipped Honey - All Natural Spreadable Honey       ,Savannah Bee Company,3.0 Ounce,9.96,4.4 out of 5 stars, 100+ bought in past month ,"1,105 ratings",,,  #53 in Honey ,"  Best Sellers Rank:  #8,265 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #53 in Honey  "
26,"        Bee Harmony Raw Honey, Organic Brazilian, 12 Ounce       ",Bee Harmony,12.0 Ounce,11.49,4.5 out of 5 stars, 300+ bought in past month ,714 ratings,,073299120230,"  #2,159 in Honey ","  Best Sellers Rank:  #319,238 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,159 in Honey  "
27,        Kirkland Signature Premium Wildflower Honey 5 Lbs 100% Pure       ,KIRKLAND,80 Fluid Ounces,15.99,4.6 out of 5 stars,,413 ratings," 
 Kosher US Grade A True Source Certified Product of Argentina  ",096619183067,  #835 in Honey ,"  Best Sellers Rank:  #124,440 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #835 in Honey  "
28,"        McCoy's Honey - 100% Pure, Raw Honey - Orange Blossom Honey Jar 16oz       ",McCoy's Honey,16.0 Ounce,16.99,4.4 out of 5 stars,,517 ratings," 
 Orange Blossom Honey is the perfect blend of sweet & citrusy flavor  ",678267160012,  #279 in Honey ,"  Best Sellers Rank:  #42,244 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #279 in Honey  "
29,"        Raw, Unfiltered, Unpasteurized Texas Honey by Desert Creek Honey 1lb (16oz) Non-GMO, Kosher       ",Desert Creek Honey,16.0 Ounce,11.99,4.7 out of 5 stars, 50+ bought in past month ,"3,934 ratings",,853550002075,  #102 in Honey ,"  Best Sellers Rank:  #14,943 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #102 in Honey  "
30,"        BERNARDS APIARIES Acadiana Honey, 24 FZ       ",Bernards Apiaries,24.00 Fluid Ounces,14.38,4.7 out of 5 stars,,88 ratings," 
 Honey Acadiana  ",768172615247,"  #2,034 in Honey ","  Best Sellers Rank:  #300,776 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,034 in Honey  "
31,"        Altay Raw Meadow Honey - 100% Pure, Unfiltered, Unpasteurized, Ethically Sourced - Glass Jar, 908g / 35.2oz       ",Altay Meadows,35.2 Fluid Ounces,24.99,4.5 out of 5 stars,,590 ratings,,609728700232,  #166 in Honey ,"  Best Sellers Rank:  #24,147 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #166 in Honey  "
32,        Raw Coastal Wildflower Honey - Unprocessed & Unheated Honey - 16 oz Glass Jar by Honey Pacifica       ,Honey Pacifica,16.0 Ounce,14.78,4.5 out of 5 stars, 300+ bought in past month ,163 ratings," 
 Our Cold Packed Coastal California is produced from a variety of coastal blossoms in Southern California. The nectars of the Southern California Wildflower blooms produces a rich, more granulated, amber honey than our White Cold Packed Creamy Wildflower Honey. We also recommend this honey to Southern California residents with allergy problems. The trace amounts of pollen inside the honey can help with allergies for users living near those floral sources. Cold Packed honey is 100% raw, unheated, unfiltered and packed in glass.  ",,  #302 in Honey ,"  Best Sellers Rank:  #46,400 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #302 in Honey  "
33,"        Local Hive 100% Pure Unfiltered Raw Honey from New England – Natural, Sweet, Local Honey, 16oz, Ideal for Baking, Tea, and Cooking – Rich in Flavor, Health Benefits       ",Local Hive Honey,32.0 Ounce,11.51,4.7 out of 5 stars,,178 ratings," 
 After three generations of beekeeping, packing, and producing, rice's lucky clover honey is still a small family business. From the beginning, all the honey produced was run through cheesecloth, instead of a pressure filter, to help retain the natural pollen and enzymes. Our priority is still to produce an excellent quality honey. Rice’s honey is still run through cheesecloth and never overheated. Nothing is added. Its 100% pure honey, continuing the original goal of retaining a natural product and leaving in the pollen and enzymes.  ",075002616160,  #954 in Honey ,"  Best Sellers Rank:  #141,253 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #954 in Honey  "
34,"        Savannah Bee Company Pure Raw Acacia Honeycomb - All Natural, Edible and Unfiltered Honeycomb - Mini 5.6 Ounce       ",Savannah Bee Company,5.6 Ounce,14.96,4.4 out of 5 stars, 600+ bought in past month ,"1,247 ratings",,852947006405,  #127 in Honey ,"  Best Sellers Rank:  #17,485 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #127 in Honey  "
35,"        GOODFLOW HONEY & JUICE Wildflower Honey, 32 FZ       ",Goodflow Honey & Juice,32.00 Fluid Ounces,22.99,4.7 out of 5 stars, 50+ bought in past month ,54 ratings," 
 Honey  ",795706000859,  #789 in Honey ,"  Best Sellers Rank:  #118,364 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #789 in Honey  "
36,"        Gunter's Clover Honey Bears, 12 Oz       ",Gunter's,12.0 Ounce,22.83,4.8 out of 5 stars,,"3,325 ratings"," 
 Honey Clover Bear  ",021273100129 786173830247,  #825 in Honey ,"  Best Sellers Rank:  #123,465 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #825 in Honey  "
37,        Steens Manuka Honey - MGO 120+ - Multifloral 100% Certified Manuka Honey - Bottled and Sealed in New Zealand - 17.6 oz Jar       ,Steens,17.6 Ounce,19.90,4.4 out of 5 stars, 200+ bought in past month ,82 ratings,,,  #162 in Honey ,"  Best Sellers Rank:  #23,664 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #162 in Honey  "
38,"        COOPERS HONEY Pure Honey, 16 OZ       ",Coopers Honey,16.0 Ounce,14.38,4.7 out of 5 stars,,36 ratings," 
 Honey Jar  ",686539197161,,
39,"        Rigoni De Asiago Honey, Wildflowers, 14.11-Ounce       ",Rigoni di Asiago,14.11 Ounce,8.29,4.6 out of 5 stars, 100+ bought in past month ,343 ratings," 
 Nocciolata CRUNCHY is an organic cocoa and hazelnut spread, made from carefully selected ingredients. With high-quality raw ingredients and careful processing, Nocciolata CRUNCHY is a delicious, creamy treat with a subtle crunch of ground hazelnuts added. After years of research, we have created a harmonious, balanced recipe in flavor and texture, which includes the finest organic hazelnuts, the highest-quality cocoa and cocoa butter, cane sugar, skimmed milk powder, cold-pressed sunflower oil, soy lecithin, and natural Bourbon vanilla extract. Nocciolata does not contain palm oil, hydrogenated fats, flavorings, preservatives or colorings, and is also gluten-free. Natural and scrumptious, it is ideal for breakfast and for snacking, both for adults and children.  ",652642000704,  #20 in Chocolate & Hazelnut Spreads ,"  Best Sellers Rank:  #7,404 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #20 in Chocolate & Hazelnut Spreads  "
40,"        Goshen Honey Extremely Raw Buckwheat Dark Honey - Unfiltered, Unprocessed, Pure & Natural from Amish Country in the USA - Rich Flavor for Tea, Cooking, Wellness - Dairy & Gluten Free - 454g/16Oz       ",Goshen Honey,16 Ounce,18.99,4.3 out of 5 stars, 50+ bought in past month ,995 ratings,,714676463686 701980723285,  #258 in Honey ,"  Best Sellers Rank:  #38,273 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #258 in Honey  "
41,"        Orchard Pond Raw Wildflower Honey - Pure & Unfiltered, Locally Sourced with Diverse Floral Flavors, 16 ounce       ",Orchard Pond,16.0 Ounce,17.99,4.0 out of 5 stars,,71 ratings,,852727005031,"  #3,247 in Honey ","  Best Sellers Rank:  #476,817 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #3,247 in Honey  "
42,"        GLORYBEE Local Washington Raw Honey, 18 OZ       ",GloryBee,18.0 Ounce,22.99,4.3 out of 5 stars, 50+ bought in past month ,72 ratings," 
 Honey Raw Washington Local  ",030042002953,"  #1,560 in Honey ","  Best Sellers Rank:  #225,530 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #1,560 in Honey  "
43,"        365 by Whole Foods Market, Hot Honey, 12 Ounce       ",365 by Whole Foods Market,12.0 Ounce,14.98,4.9 out of 5 stars, 1K+ bought in past month ,31 ratings," 
 Baking  ",099482531607,"  #2,952 in Honey ","  Best Sellers Rank:  #437,526 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2,952 in Honey  "
44,"        Wedderspoon Organic Manuka Honey Drops, Honey & Echinacea, 20 Count (Pack of 1) | Genuine New Zealand Honey | Perfect Remedy For Dry Throats       ",Wedderspoon,4.0 Ounce,7.98,4.5 out of 5 stars,,"18,027 ratings"," 
 Soothe throats with this time-tested recipe still crafted with care in small batches. Perfect for the common cold and allergy season. Wedderspoon's Honey Drops are a refreshing and invigorating flavor for your sore throat. USDA Organic, Gluten-free, dairy-free, nut-free, and GMO-free. Sourced, packed and labeled in New Zealand for genuine, unadulterated quality. Each box contains approximately 20 drops.  ",814422022874,  #4 in Cough Drops ,
45,"        Oregon Growers Wildflower Honey - Raw Unfiltered Pacific Northwest Honey, Organic, Gluten Free, Pure & Natural Raw Honey, Subtle Flavors & Natural Enzymes, Farm Direct Specialty Foods, Flower Honey - 18 Oz (Pack of 1)       ",Oregon Growers,18.0 Ounce,22.99,4.6 out of 5 stars,,339 ratings,,898271000504,  #282 in Honey ,"  Best Sellers Rank:  #42,906 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #282 in Honey  "
46,"        Gunter Honey Bear, 12 oz       ",Gunter's Honey,12 Ounce,6.20,4.6 out of 5 stars, 300+ bought in past month ,322 ratings," 
 Honey Clover Bear  ",021273100129,  #564 in Honey ,"  Best Sellers Rank:  #85,950 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #564 in Honey  "
47,        Natural Unflitered Honey Sachets Enriched with Natural Jelly Large Gold Box with 20g Sachets 12 count | Miel para hombre y mujers natural       ,Generic,,20.97,3.6 out of 5 stars, 1K+ bought in past month ,18 ratings," 
 Honey Satchets  ",,  #142 in Honey ,"  Best Sellers Rank:  #19,785 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #142 in Honey  "
48,"        Glorybee, Premium Honey Syrup, Real Honey, No Artifical colors or flavors, 25.4 fl oz       ",GloryBee,25.4 Fluid Ounces,11.91,4.4 out of 5 stars, 500+ bought in past month ,184 ratings," 
 GloryBee's Premium Gourmet Honey Syrup is made with real honey and is the perfect alternative to simple syrup. With a classic honey flavor, it is just the right consistency for blending into iced coffee & tea, hot brewed coffee & tea, and cocktails & mocktails. Normally, when blending honey into cold drinks, the honey will just sit on the bottom of the glass, but this isn't the case with our honey syrup. The recyclable plastic bottle is compatible with a .25 oz. syrup pump or pour spout for measuring and dispensing. With an attractive shelf presence, it is perfect for use in coffee shops & cafes. Better yet, a portion of the sales from this item is donated to SAVE the BEE which helps support honey bee research on honey bee health.  ",030042004612,  #107 in Honey ,"  Best Sellers Rank:  #15,560 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #107 in Honey  "
49,,,,,,,,,,,
50,        Tupelo Honey 32oz - 2 pound -Two pound Jar- from Sleeping Bear Farms Beekeepers in the Florida Apalachicola River Basin       ,Sleeping Bear Farms,32 Ounce,43.00,4.7 out of 5 stars, 100+ bought in past month ,986 ratings," 
 Florida Tupelo honey is one of the rarest honeys with an exquisite buttery flavor and light color. Tuplelo trees thrive along the rivers and creeks of the Florida panhandle and have delicate fragrant blossoms that can produce wonderful honey crops. Our hives are handled by our own beekeepers, who also extract the honey crop every year! Our bees, our honey, our facility! ~Team Bear  ",080833102324,  #224 in Honey ,"  Best Sellers Rank:  #32,676 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #224 in Honey  "
51,"        Fischer’s 100% Pure, Raw & Unfiltered Honey, 40 oz – USA Made Honey – All-Natural Sweetener – Rich Flavor Profile, Packed with Nutrients       ",Fischer's,40.0 Ounce,14.95,4.6 out of 5 stars, 2K+ bought in past month ,566 ratings," 
 Fischer’s Raw Honey is 100% pure, unprocessed, honey made in the USA, and packaged in a convenient 40 oz squeeze bottle for easy use. Responsibly sourced from beekeepers all over the U.S. dedicated to bee welfare, our honey is 100% raw, unfiltered, and unpasteurized—no additives, syrups, or flavors. nOur all-natural honey serves as a sweetener and sugar substitute, perfect for drizzling on fruits, yogurt, toast, or pancakes. Its rich flavor and sweetness elevate your tea, coffee, and desserts, and give a distinctive twist to your dishes. nWith naturally preserved vitamins, minerals, and antioxidants, our unfiltered raw honey offers full nutritional benefits. Over time, it may crystallize, showcasing its pure origin.nExperience the unadulterated sweetness of raw unpasteurized honey, straight from the hive to your table. Available on Amazon and grocery stores across the country, our honey is the essence of quality and authenticity. Treat yourself to the pure indulgence of raw, unfiltered honey—nature's golden elixir.  ",011137040401,  #15 in Honey ,"  Best Sellers Rank:  #2,543 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #15 in Honey  "
52,"        Sue Bee Pure Premium Honey From USA Beekeepers, 80 oz, Pack of 3       ",Sue Bee,240.0 Ounce,87.49,4.6 out of 5 stars, 50+ bought in past month ,"1,337 ratings",,,  #66 in Honey ,"  Best Sellers Rank:  #10,518 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #66 in Honey  "
53,"        Sue Bee Naturally Flavored Vanilla Honey For Coffee and Pancakes, Salads, Made in USA, 16 oz       ",Sue Bee,16.0 Fluid Ounces,13.49,4.5 out of 5 stars, 100+ bought in past month ,688 ratings,,018700000725,  #97 in Honey ,"  Best Sellers Rank:  #14,324 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #97 in Honey  "
54,"        Mike's Hot Honey, America's #1 Brand of Hot Honey, Spicy Honey Infused with Chili Peppers, Certified Kosher, Gluten-Free, Paleo-Friendly, Sweet Heat, Perfect for Hot Sauce Lovers (10oz Bottle, 1 Pack)       ",Mike's Hot Honey,10.0 Ounce,10.99,4.6 out of 5 stars, 10K+ bought in past month ,"42,053 ratings",,860012002351,  #2 in Hot Sauce ,  Best Sellers Rank:  #556 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2 in Hot Sauce  
